,date,state,fips,cases,deaths
626,13-03-2020,Rhode Island,44,20,0
627,13-03-2020,South Carolina,45,13,0
628,13-03-2020,South Dakota,46,9,1
629,13-03-2020,Tennessee,47,26,0
630,13-03-2020,Texas,48,58,0
631,13-03-2020,Utah,49,7,0
632,13-03-2020,Vermont,50,2,0
633,13-03-2020,Virginia,51,30,0
634,13-03-2020,Washington,53,511,37
635,13-03-2020,Wisconsin,55,19,0
636,13-03-2020,Wyoming,56,2,0
637,14-03-2020,Alabama,1,12,0
638,14-03-2020,Alaska,2,1,0
639,14-03-2020,Arizona,4,12,0
640,14-03-2020,Arkansas,5,9,0
641,14-03-2020,California,6,381,5
642,14-03-2020,Colorado,8,103,2
643,14-03-2020,Connecticut,9,20,0
644,14-03-2020,Delaware,10,4,0
645,14-03-2020,District of Columbia,11,16,0
646,14-03-2020,Florida,12,70,3
647,14-03-2020,Georgia,13,65,1
648,14-03-2020,Hawaii,15,4,0
649,14-03-2020,Idaho,16,5,0
650,14-03-2020,Illinois,17,66,0
651,14-03-2020,Indiana,18,15,0
652,14-03-2020,Iowa,19,18,0
653,14-03-2020,Kansas,20,8,1
654,14-03-2020,Kentucky,21,18,0
655,14-03-2020,Louisiana,22,77,1
656,14-03-2020,Maine,23,3,0
657,14-03-2020,Maryland,24,27,0
658,14-03-2020,Massachusetts,25,138,0
659,14-03-2020,Michigan,26,33,0
660,14-03-2020,Minnesota,27,21,0
661,14-03-2020,Mississippi,28,6,0
662,14-03-2020,Missouri,29,5,0
663,14-03-2020,Montana,30,6,0
664,14-03-2020,Nebraska,31,29,0
665,14-03-2020,Nevada,32,21,0
666,14-03-2020,New Hampshire,33,7,0
667,14-03-2020,New Jersey,34,75,2
668,14-03-2020,New Mexico,35,13,0
669,14-03-2020,New York,36,610,2
670,14-03-2020,North Carolina,37,25,0
671,14-03-2020,North Dakota,38,1,0
672,14-03-2020,Ohio,39,26,0
673,14-03-2020,Oklahoma,40,4,0
674,14-03-2020,Oregon,41,36,1
675,14-03-2020,Pennsylvania,42,47,0
676,14-03-2020,Puerto Rico,72,4,0
677,14-03-2020,Rhode Island,44,20,0
678,14-03-2020,South Carolina,45,19,0
679,14-03-2020,South Dakota,46,9,1
680,14-03-2020,Tennessee,47,32,0
681,14-03-2020,Texas,48,69,0
682,14-03-2020,Utah,49,21,0
683,14-03-2020,Vermont,50,5,0
684,14-03-2020,Virgin Islands,78,1,0
685,14-03-2020,Virginia,51,42,1
686,14-03-2020,Washington,53,609,40
687,14-03-2020,Wisconsin,55,27,0
688,14-03-2020,Wyoming,56,3,0
689,15-03-2020,Alabama,1,23,0
